"","name","price","socket","form_factor","max_memory","memory_slots","color"
"279","ASRock A520M-HVS",81.23,"AM4","Micro ATX",64,2,"Black / Silver"
"280","Gigabyte Z790 AORUS MASTER",439.99,"LGA1700","EATX",192,4,"Black / Silver"
"281","Gigabyte B450 AORUS ELITE V2",126.81,"AM4","ATX",128,4,"Black"
"282","Asus ROG CROSSHAIR X670E GENE",658.73,"AM5","Micro ATX",96,2,"Black / Silver"
"283","Gigabyte Z790 AORUS XTREME X",1611.9,"LGA1700","EATX",192,4,"Black"
"284","ASRock Z790 Taichi Lite",341.99,"LGA1700","EATX",192,4,"Black / Gray"
"285","Asus TUF GAMING B650M-E WIFI",227.53,"AM5","Micro ATX",192,4,"Black"
"286","Asus TUF GAMING Z690-PLUS WIFI",219.99,"LGA1700","ATX",192,4,"Black / Gray"
"287","ASRock Z690 Phantom Gaming 4/D5",129.99,"LGA1700","ATX",192,4,"Black / Silver"
"288","Asus PRIME Z490-P",199.99,"LGA1200","ATX",128,4,"Black / Silver"
"289","MSI MEG X570 UNIFY",NA,"AM4","ATX",128,4,"Black"
